Date;Close
1987-06-30;394.69
1987-07-31;413.8
1987-08-31;397.93
1987-09-30;406.75
1987-10-31;395.24
1987-11-30;390.59
1987-12-31;374.75
1988-01-31;369.86
1988-02-29;348.1
1988-03-31;365.06
1988-04-30;361.25
1988-05-31;376.66
1988-06-30;382.6
1988-07-31;392.84
1988-08-31;384.63
1988-09-30;360.17
1988-10-31;355.27
1988-11-30;353.58
1988-12-31;352.6
1989-01-31;351.79
1989-02-28;340.73
1989-03-31;348.27
1989-04-30;341
1989-05-31;346.32
1989-06-30;352.2
1989-07-31;330.79
1989-08-31;339.56
1989-09-30;331.61
1989-10-31;335.99
1989-11-30;358.28
1989-12-31;331.09
1990-01-31;342.39
1990-02-28;336.89
1990-03-31;305.33
1990-04-30;301.68
1990-05-31;298.07
1990-06-30;284.12
1990-07-31;285.9
1990-08-31;294.87
1990-09-30;308.1
1990-10-31;277.51
1990-11-30;281.8
1990-12-31;287.1
1991-01-31;263.16
1991-02-28;269.47
1991-03-31;294.9
1991-04-30;298.75
1991-05-31;305.06
1991-06-30;325.25
1991-07-31;308.73
1991-08-31;295.76
1991-09-30;288.23
1991-10-31;291.49
1991-11-30;292.41
1991-12-31;264.87
1992-01-31;278.49
1992-02-29;283.73
1992-03-31;275.36
1992-04-30;270.92
1992-05-31;263.73
1992-06-30;255.51
1992-07-31;259.88
1992-08-31;236.85
1992-09-30;252.31
1992-10-31;266.71
1992-11-30;272.02
1992-12-31;275.58
1993-01-31;272.54
1993-02-28;278.22
1993-03-31;280.4
1993-04-30;287.81
1993-05-31;305.63
1993-06-30;329.49
1993-07-31;368.24
1993-08-31;326.64
1993-09-30;306.33
1993-10-31;323.93
1993-11-30;331.46
1993-12-31;350.87
1994-01-31;338.47
1994-02-28;336.37
1994-03-31;336.82
1994-04-30;323.55
1994-05-31;331.11
1994-06-30;321.53
1994-07-31;318.36
1994-08-31;318.75
1994-09-30;320.24
1994-10-31;302.84
1994-11-30;314.79
1994-12-31;312.58
1995-01-31;302.53
1995-02-28;295.12
1995-03-31;295.31
1995-04-30;294.2
1995-05-31;293.96
1995-06-30;290.86
1995-07-31;285.83
1995-08-31;299.74
1995-09-30;296.41
1995-10-31;293.48
1995-11-30;304.12
1995-12-31;302.82
1996-01-31;328.78
1996-02-29;318.36
1996-03-31;315.57
1996-04-30;318.8
1996-05-31;319.19
1996-06-30;306.7
1996-07-31;301.72
1996-08-31;303.46
1996-09-30;303.69
1996-10-31;299.53
1996-11-30;295.86
1996-12-31;298.14
1997-01-31;292.62
1997-02-28;312.1
1997-03-31;300.49
1997-04-30;302.14
1997-05-31;303.42
1997-06-30;296.96
1997-07-31;304.4
1997-08-31;298.9
1997-09-30;299.46
1997-10-31;272.32
1997-11-30;264.17
1997-12-31;262.98
1998-01-31;283.05
1998-02-28;273.09
1998-03-31;280
1998-04-30;281.84
1998-05-31;265.94
1998-06-30;269.85
1998-07-31;260.69
1998-08-31;245.42
1998-09-30;249.45
1998-10-31;246.29
1998-11-30;255.51
1998-12-31;246.36
1999-01-31;250.99
1999-02-28;261.07
1999-03-31;258.56
1999-04-30;271.3
1999-05-31;257.72
1999-06-30;253.15
1999-07-31;239.01
1999-08-31;240.81
1999-09-30;280.94
1999-10-31;284.37
1999-11-30;289.12
1999-12-31;289.56
2000-01-31;288.62
2000-02-29;301.85
2000-03-31;288.39
2000-04-30;303.8
2000-05-31;291.49
2000-06-30;301.67
2000-07-31;299.89
2000-08-31;307.17
2000-09-30;311.16
2000-10-31;313.82
2000-11-30;307.68
2000-12-31;292.79
2001-01-31;283.74
2001-02-28;289.83
2001-03-31;291.25
2001-04-30;296.61
2001-05-31;315.82
2001-06-30;319.37
2001-07-31;303.37
2001-08-31;299.28
2001-09-30;321.21
2001-10-31;309.52
2001-11-30;307.65
2001-12-31;314.24
2002-01-31;327.57
2002-02-28;343.7
2002-03-31;345.44
2002-04-30;341.61
2002-05-31;349.12
2002-06-30;321.39
2002-07-31;311.5
2002-08-31;318.57
2002-09-30;327.23
2002-10-31;320.94
2002-11-30;320.98
2002-12-31;332.6
2003-01-31;341.54
2003-02-28;322.46
2003-03-31;307.48
2003-04-30;302.1
2003-05-31;307.18
2003-06-30;302.05
2003-07-31;314.77
2003-08-31;342.45
2003-09-30;331.2
2003-10-31;332.32
2003-11-30;331.82
2003-12-31;332.34
2004-01-31;322.33
2004-02-29;317.88
2004-03-31;345.96
2004-04-30;324.43
2004-05-31;321.68
2004-06-30;324.93
2004-07-31;323.79
2004-08-31;335.85
2004-09-30;335.12
2004-10-31;334.18
2004-11-30;340.49
